Transaction_ID,Product_ID,Product_Category,Product_Name,Brand,Purchase_Date,Original_Price_INR,Current_Market_Value_INR,Condition_at_Resale,Ownership_Cycle,Resale_Date,Resale_Price_INR,Seller_Type,Buyer_Type,Platform,Refurbished,Refurbishment_Cost_INR,Repair_Count,Product_Age_Months,Usage_Hours,Warranty_Status,Return_Status,Recycling_Eligible,Recycled,Recycling_Date,Material_Recovered_Kg,CO2_Saved_Kg,Waste_Diverted_Kg,Circularity_Score,Customer_Rating,Region,City,Final_Disposition
EC00011,PRD00011,Furniture,Dining Set,Pepperfry,2022-04-12,61890,47390,Like New,2,2024-05-12,35560,Individual,Individual,Local Dealer,No,0,2,25,1442,Extended,Not Returned,Yes,No,,0,282.98,3.38,57.9,3.8,South,Hyderabad,Resold
EC00012,PRD00012,Cameras,DSLR,Sony,2024-05-23,142710,112270,Good,2,2027-12-23,61820,Business,Individual,Facebook Marketplace,No,0,2,43,2228,Expired,Not Returned,Yes,No,,0,664.76,2.94,45,4.6,South,Kochi,Refurbished
EC00013,PRD00013,Cameras,Camcorder,Sony,2021-11-27,82840,70000,Good,1,2025-10-27,33600,Business,Individual,EchoChain Marketplace,No,0,5,47,10944,Expired,Not Returned,Yes,No,,0,161.41,2.99,48.3,4.4,South,Vijayawada,Resold
EC00014,PRD00014,Smartphones,Xperia,Google,2025-01-22,91570,59500,Good,3,2026-09-22,47170,Individual,Business,OLX,No,0,1,20,2736,Expired,Not Returned,Yes,No,,0,236.39,4.53,52.5,4.8,East,Kolkata,Resold
EC00015,PRD00015,Gaming,Controller,Sony,2021-03-29,7450,3660,Like New,1,2024-10-29,4020,Business,Individual,OLX,No,0,0,43,4183,Expired,Not Returned,Yes,No,,0,7.34,0.51,49.9,4.2,East,Ranchi,Refurbished
EC00016,PRD00016,Home Appliances,Vacuum Cleaner,Samsung,2024-10-28,78210,59290,Like New,1,2026-01-28,45670,Individual,Business,Amazon Renewed,No,0,3,15,2313,Expired,Not Returned,Yes,No,,0,139.21,5.51,52.2,3.9,North,Jaipur,Resold
EC00017,PRD00017,Laptops,MacBook Air,HP,2024-01-29,39980,34950,Good,3,2024-08-29,19810,Individual,Individual,Facebook Marketplace,No,0,1,7,5710,Active,Not Returned,Yes,No,,0,168.71,3.03,68,4.1,South,Vijayawada,Resold
EC00018,PRD00018,Audio,Wireless Earbuds,JBL,2023-05-22,30010,23590,Good,2,2026-03-22,12270,Individual,Individual,OLX,No,0,1,34,6022,Expired,Not Returned,Yes,No,,0,85.71,1.78,51,4.5,South,Kochi,Resold
EC00019,PRD00019,Furniture,Office Chair,IKEA,2025-08-15,47290,24270,Fair,1,2028-01-15,14960,Individual,Individual,EchoChain Marketplace,No,0,0,29,4914,Extended,Not Returned,Yes,No,,0,81.69,2.78,49.1,3.2,East,Patna,Recycled
EC00020,PRD00020,Home Appliances,Air Conditioner,Samsung,2021-05-11,29950,23470,Good,2,2025-04-11,11310,Individual,Individual,Facebook Marketplace,Yes,4460,0,47,6043,Expired,Not Returned,Yes,No,,0,176.61,2.13,70.1,4.5,East,Ranchi,Refurbished
EC00021,PRD00021,Audio,Bluetooth Speaker,Bose,2025-08-13,5260,2530,Good,3,2025-12-13,2920,Business,Individual,Amazon Renewed,No,0,1,4,9404,Active,Not Returned,Yes,No,,0,16.2,0.29,65.8,4.5,West,Ahmedabad,Resold
EC00022,PRD00022,Fashion,Jacket,Fossil,2024-08-25,33930,17240,Like New,2,2026-01-25,19700,Individual,Individual,Amazon Renewed,Yes,2660,0,17,4516,Expired,Not Returned,Yes,No,,0,92.81,1.29,58.7,4.6,East,Guwahati,Resold
EC00023,PRD00023,Furniture,Office Chair,Urban Ladder,2023-02-09,12630,7220,Like New,5,2025-07-09,6500,Individual,Individual,Amazon Renewed,Yes,1760,0,29,10246,Extended,Not Returned,Yes,No,,0,37.08,0.45,83.9,4,South,Vijayawada,Refurbished
EC00024,PRD00024,Audio,Wireless Earbuds,JBL,2021-12-10,8940,5720,Good,1,2025-05-10,3490,Business,Individual,Amazon Renewed,No,0,0,41,11824,Expired,Not Returned,No,No,,0,14.94,0.35,48.8,4.2,East,Ranchi,Resold
EC00025,PRD00025,Smartphones,OnePlus,Google,2025-02-24,63370,55010,Fair,2,2027-03-24,22510,Individual,Individual,EchoChain Marketplace,No,0,2,25,283,Expired,Not Returned,Yes,No,,0,187.06,2.23,53.2,2.9,East,Ranchi,Refurbished
EC00026,PRD00026,Cameras,Action Camera,Nikon,2024-12-08,54070,36350,Fair,3,2026-08-08,20880,Individual,Individual,Facebook Marketplace,Yes,4080,1,20,787,Extended,Not Returned,Yes,No,,0,262.68,2.67,74.6,4.4,North,Lucknow,Resold
EC00027,PRD00027,Smartphones,Galaxy S Series,Apple,2023-03-17,67690,53160,Fair,5,2028-01-17,16260,Individual,Individual,Facebook Marketplace,No,0,2,58,9048,Expired,Not Returned,Yes,No,,0,281.13,2.56,76.5,3.6,North,Delhi,Resold
EC00028,PRD00028,Laptops,Pavilion,Lenovo,2022-01-21,137150,112790,Good,1,2023-12-21,62370,Individual,Individual,EchoChain Marketplace,No,0,2,23,9657,Expired,Not Returned,Yes,No,,0,79.42,2.17,49.4,5,East,Guwahati,Resold
EC00029,PRD00029,Smartphones,OnePlus,Sony,2024-04-30,45790,41350,Like New,4,2029-02-28,20380,Individual,Business,Cashify,No,0,1,58,8637,Expired,Not Returned,Yes,No,,0,205.65,3.53,61.4,4.4,East,Ranchi,Recycled
EC00030,PRD00030,Furniture,Dining Set,Godrej,2023-08-14,54480,31760,Good,2,2026-01-14,22490,Individual,Individual,Cashify,No,0,1,29,8906,Expired,Not Returned,Yes,No,,0,293.03,2.91,51.4,4.1,East,Patna,Landfill
EC00031,PRD00031,Furniture,Office Chair,Pepperfry,2021-10-04,68760,37460,Like New,2,2025-10-04,35220,Individual,Individual,EchoChain Marketplace,No,0,1,48,8495,Expired,Not Returned,Yes,No,,0,253.11,2.36,53.9,4.1,South,Kochi,Resold
EC00032,PRD00032,Laptops,Pavilion,Lenovo,2024-03-30,138960,99320,Good,3,2025-08-30,76470,Individual,Individual,Local Dealer,Yes,7000,1,17,2853,Expired,Not Returned,No,No,,0,495.16,9.03,83.7,5,North,Jaipur,Resold
EC00033,PRD00033,Fashion,Backpack,Levi's,2022-04-05,2910,1830,Like New,3,2025-09-05,1300,Individual,Individual,Local Dealer,Yes,110,1,41,7017,Expired,Not Returned,Yes,Yes,2025-10-15,2.58,14.66,1.06,80.5,4.5,West,Pune,Recycled
EC00034,PRD00034,Gaming,Monitor,Microsoft,2024-08-30,83590,56160,Poor,4,2025-04-30,19860,Individual,Individual,Amazon Renewed,No,0,0,8,10592,Active,Not Returned,Yes,No,,0,239.31,3.48,75.3,4.5,South,Bengaluru,Resold
EC00035,PRD00035,Furniture,Office Chair,Godrej,2021-01-22,71340,40150,Good,3,2023-09-22,31380,Individual,Individual,OLX,No,0,0,32,2326,Expired,Not Returned,Yes,No,,0,284.9,2.06,62.6,4.6,East,Kolkata,Resold
EC00036,PRD00036,Furniture,Dining Set,Wakefit,2021-09-10,82160,59940,Like New,3,2023-08-10,52900,Individual,Individual,OLX,No,0,3,23,664,Extended,Not Returned,Yes,No,,0,340.59,6.41,52.2,4.6,South,Bengaluru,Resold
EC00037,PRD00037,Laptops,MacBook Air,HP,2023-01-18,141290,87680,Good,2,2023-04-18,77180,Individual,Individual,Cashify,No,0,2,3,7190,Active,Not Returned,Yes,No,,0,394.4,8.26,60.9,3.8,North,Noida,Refurbished
EC00038,PRD00038,Home Appliances,Air Conditioner,LG,2023-05-07,16790,8540,Good,3,2026-07-07,7160,Business,Business,Amazon Renewed,Yes,1600,3,38,3323,Expired,Not Returned,Yes,Yes,2026-10-11,6.29,59.52,2.57,85.7,5,North,Lucknow,Resold
EC00039,PRD00039,Audio,Headphones,Sony,2025-05-04,23150,19440,Good,2,2027-04-04,9920,Individual,Business,EchoChain Marketplace,No,0,0,23,10844,Expired,Not Returned,Yes,Yes,2027-06-14,6.28,104.94,3.7,65,2.6,East,Guwahati,Refurbished
EC00040,PRD00040,Audio,Soundbar,JBL,2022-04-20,40680,36540,Good,3,2023-05-20,23220,Individual,Individual,EchoChain Marketplace,No,0,3,13,5456,Expired,Not Returned,Yes,No,,0,178.47,1.88,62.2,4.4,East,Guwahati,Recycled
EC00041,PRD00041,Cameras,DSLR,Canon,2023-12-19,80730,41640,Good,3,2026-02-19,35720,Business,Individual,Facebook Marketplace,Yes,8300,2,26,7790,Extended,Not Returned,Yes,No,,0,198.96,1.78,78.8,3.7,North,Lucknow,Resold
EC00042,PRD00042,Home Appliances,Vacuum Cleaner,Samsung,2022-05-26,12860,9710,Fair,1,2025-09-26,3930,Individual,Individual,Cashify,No,0,0,40,10189,Expired,Not Returned,Yes,No,,0,14.44,0.41,44.1,2.3,South,Chennai,Resold
EC00043,PRD00043,Laptops,Pavilion,Dell,2025-09-02,71930,32990,Fair,2,2028-09-02,21770,Individual,Individual,Facebook Marketplace,Yes,5330,0,36,923,Extended,Not Returned,Yes,No,,0,214.45,2.36,63.2,4.3,North,Jaipur,Refurbished
EC00044,PRD00044,Gaming,Monitor,ASUS,2025-02-08,44130,26200,Good,1,2030-01-08,13810,Business,Individual,Local Dealer,No,0,2,59,3297,Expired,Not Returned,Yes,No,,0,53.65,3.51,38.8,4.2,East,Patna,Resold
EC00045,PRD00045,Home Appliances,Air Conditioner,LG,2022-12-01,27660,16770,Good,2,2023-08-01,14150,Business,Business,Cashify,Yes,1420,0,8,4159,Active,Not Returned,Yes,No,,0,70.55,1.31,75.8,4.4,South,Hyderabad,Resold
EC00046,PRD00046,Smartphones,iPhone,Samsung,2023-09-03,71610,36180,Good,1,2023-12-03,44700,Business,Individual,Cashify,No,0,2,3,10606,Active,Not Returned,Yes,Yes,2023-12-14,37.75,66.48,27.82,58.3,3.9,North,Jaipur,Resold
EC00047,PRD00047,Laptops,IdeaPad,Dell,2025-12-12,147200,104340,Fair,2,2027-07-12,45930,Business,Individual,Amazon Renewed,Yes,5410,2,19,11606,Expired,Not Returned,No,No,,0,576.8,9.91,71.3,4,South,Hyderabad,Resold
EC00048,PRD00048,Gaming,Gaming Laptop,Meta,2021-07-09,72830,54710,Fair,2,2025-05-09,22400,Business,Individual,Local Dealer,Yes,3690,1,46,2939,Expired,Not Returned,Yes,No,,0,258.34,3.44,68,3.3,East,Kolkata,Refurbished
EC00049,PRD00049,Laptops,Inspiron,Lenovo,2023-08-16,165990,138370,Like New,3,2024-05-16,107290,Individual,Individual,EchoChain Marketplace,No,0,0,9,8909,Active,Not Returned,Yes,No,,0,453.94,5.85,63.5,2.9,South,Hyderabad,Resold
EC00050,PRD00050,Smartphones,OnePlus,Google,2022-11-18,120790,68310,Poor,1,2026-12-18,19160,Business,Business,EchoChain Marketplace,Yes,11630,0,49,1343,Expired,Not Returned,Yes,Yes,2027-03-16,59.82,394,19.31,65.7,3.3,East,Ranchi,Resold
EC00051,PRD00051,Audio,Wireless Earbuds,Sennheiser,2023-08-16,4880,2420,Good,1,2026-06-16,2280,Individual,Individual,Amazon Renewed,Yes,390,0,34,3037,Extended,Not Returned,Yes,No,,0,20.59,0.28,50.5,3.6,West,Pune,Resold
EC00052,PRD00052,Smartphones,Pixel,Samsung,2022-07-17,70720,44550,Good,2,2027-07-17,20950,Individual,Individual,OLX,Yes,7060,1,60,10441,Expired,Not Returned,No,No,,0,176.56,4.49,47.1,3.3,East,Guwahati,Refurbished
EC00053,PRD00053,Fashion,Backpack,Nike,2025-05-10,24610,21440,Poor,4,2028-04-10,4380,Individual,Individual,Facebook Marketplace,No,0,2,35,11543,Expired,Not Returned,Yes,Yes,2028-06-17,19.18,126.71,2.75,77.5,2.6,West,Mumbai,Recycled
EC00054,PRD00054,Furniture,Office Chair,Wakefit,2024-06-21,85490,64400,Good,2,2025-11-21,42030,Individual,Business,OLX,No,0,1,17,780,Expired,Not Returned,Yes,No,,0,266.22,3.11,50.2,4.6,North,Jaipur,Resold
EC00055,PRD00055,Cameras,Mirrorless Camera,Panasonic,2023-04-12,31100,27410,Fair,1,2027-09-12,8760,Individual,Individual,EchoChain Marketplace,No,0,0,53,3840,Expired,Not Returned,Yes,Yes,2028-01-01,12.41,42.88,8.58,58.6,3.4,South,Kochi,Resold
EC00056,PRD00056,Audio,Wireless Earbuds,Bose,2025-03-09,32830,21940,Poor,2,2029-07-09,5580,Individual,Business,Facebook Marketplace,Yes,3060,0,52,7496,Expired,Not Returned,No,No,,0,142.99,1.65,56.8,2,East,Bhubaneswar,Resold
EC00057,PRD00057,Smartphones,Pixel,Apple,2024-02-29,39980,30360,Good,2,2025-02-28,20810,Individual,Individual,Cashify,No,0,0,12,2834,Active,Not Returned,Yes,No,,0,169.95,1.69,67.8,3.9,West,Nagpur,Refurbished
EC00058,PRD00058,Smartphones,OnePlus,Samsung,2025-02-17,129870,118070,Good,1,2027-08-17,59470,Individual,Business,Cashify,Yes,18050,0,30,4349,Expired,Not Returned,Yes,No,,0,287.18,1.98,61,3.9,East,Ranchi,Refurbished
EC00059,PRD00059,Fashion,Denim,Levi's,2022-10-09,35760,19620,Fair,1,2023-12-09,14520,Individual,Individual,EchoChain Marketplace,No,0,1,14,4587,Expired,Not Returned,Yes,No,,0,27.12,2.27,50,4.1,South,Hyderabad,Recycled
EC00060,PRD00060,Smartphones,Pixel,Google,2021-01-21,25500,17070,Good,4,2023-10-21,11670,Individual,Business,OLX,No,0,1,33,167,Expired,Not Returned,Yes,No,,0,125.24,0.83,65.9,4.2,South,Kochi,Resold
EC00061,PRD00061,Home Appliances,Microwave,IFB,2023-04-21,38900,19700,Fair,2,2024-07-21,14780,Individual,Individual,Cashify,Yes,6030,0,15,9166,Expired,Not Returned,Yes,No,,0,97.71,2.91,59.6,4.4,North,Jaipur,Recycled
EC00062,PRD00062,Home Appliances,Vacuum Cleaner,Whirlpool,2021-06-16,68680,50330,Good,2,2025-01-16,29370,Individual,Business,EchoChain Marketplace,No,0,1,43,9604,Expired,Not Returned,Yes,No,,0,381.46,3.01,48.6,3.6,West,Mumbai,Refurbished
EC00063,PRD00063,Smartphones,Pixel,Samsung,2024-07-21,136490,123220,Like New,2,2025-10-21,77720,Business,Individual,Amazon Renewed,No,0,2,15,10497,Expired,Not Returned,Yes,No,,0,408.66,3.12,52,4.4,North,Jaipur,Recycled
EC00064,PRD00064,Home Appliances,Microwave,Daikin,2022-01-23,13270,12370,Good,2,2024-06-23,6520,Individual,Individual,Cashify,Yes,1840,1,29,11650,Expired,Returned,Yes,No,,0,38.84,0.35,63.5,3.3,South,Hyderabad,Resold
EC00065,PRD00065,Smartphones,iPhone,Apple,2022-08-24,123500,105080,Good,4,2025-04-24,57720,Business,Business,EchoChain Marketplace,Yes,12170,3,32,482,Extended,Not Returned,Yes,Yes,2025-07-28,30.25,558.89,34.12,90.7,4.6,East,Guwahati,Recycled
EC00066,PRD00066,Furniture,Bookshelf,Wakefit,2021-11-12,80460,55610,Like New,1,2023-01-12,49810,Individual,Individual,Facebook Marketplace,No,0,1,14,4562,Expired,Not Returned,Yes,No,,0,44.97,4.59,52.6,4,South,Kochi,Resold
EC00067,PRD00067,Laptops,Inspiron,Dell,2021-01-14,140140,96050,Good,1,2026-01-14,43590,Individual,Individual,OLX,No,0,1,60,7989,Expired,Not Returned,Yes,No,,0,153.37,8.35,55.3,2.5,South,Chennai,Resold
EC00068,PRD00068,Audio,Headphones,Sennheiser,2021-08-30,32820,25160,Good,2,2024-09-30,15050,Individual,Business,OLX,No,0,4,37,717,Expired,Not Returned,Yes,No,,0,117.79,1.52,45.9,4.3,West,Ahmedabad,Refurbished
EC00069,PRD00069,Furniture,Dining Set,IKEA,2023-02-16,27360,23430,Good,2,2025-04-16,13990,Individual,Individual,EchoChain Marketplace,Yes,1440,1,26,7420,Expired,Not Returned,Yes,No,,0,126.36,0.51,68.1,3.3,South,Kochi,Refurbished
EC00070,PRD00070,Cameras,Action Camera,Sony,2024-10-01,76790,51600,Fair,2,2026-05-01,30200,Individual,Individual,Amazon Renewed,Yes,8990,0,19,9355,Expired,Not Returned,Yes,No,,0,325.65,5.45,62.9,3.1,West,Pune,Refurbished
EC00071,PRD00071,Furniture,Dining Set,Pepperfry,2022-07-19,44880,27820,Good,2,2023-01-19,22970,Individual,Individual,OLX,No,0,2,6,10781,Active,Not Returned,Yes,No,,0,72.14,0.7,58.5,4.2,North,Jaipur,Refurbished
EC00072,PRD00072,Cameras,Mirrorless Camera,GoPro,2023-06-17,148420,91590,Good,3,2027-03-17,54310,Business,Business,Facebook Marketplace,No,0,0,45,11815,Expired,Not Returned,Yes,No,,0,560.59,5.67,63.4,3.9,East,Patna,Refurbished
EC00073,PRD00073,Laptops,ThinkPad,Lenovo,2024-09-25,102060,49920,Like New,2,2025-09-25,59260,Individual,Individual,EchoChain Marketplace,Yes,12690,0,12,3091,Active,Not Returned,No,No,,0,376.97,6.85,67.7,3.5,North,Chandigarh,Recycled
EC00074,PRD00074,Cameras,Lens,Panasonic,2021-04-02,152090,128290,Good,2,2025-10-02,56340,Individual,Business,OLX,No,0,0,54,1234,Extended,Not Returned,No,No,,0,367.19,3.17,55.2,4.4,West,Pune,Resold
EC00075,PRD00075,Laptops,MacBook Air,Lenovo,2024-10-22,126960,106120,Fair,2,2026-04-22,46800,Individual,Individual,Amazon Renewed,No,0,1,18,5828,Expired,Not Returned,Yes,No,,0,241.18,3.35,57.7,3.7,North,Delhi,Recycled
EC00076,PRD00076,Gaming,Gaming Laptop,Meta,2023-08-14,13170,5980,Good,4,2025-11-14,6160,Individual,Individual,Local Dealer,No,0,1,27,4318,Expired,Not Returned,Yes,Yes,2025-12-27,3.68,61.25,3.29,77.6,3.9,West,Mumbai,Refurbished
EC00077,PRD00077,Laptops,Pavilion,Acer,2025-01-18,100660,60630,Fair,2,2029-07-18,25810,Individual,Individual,OLX,No,0,2,54,1196,Expired,Not Returned,No,No,,0,254.77,7.05,46.9,4.3,South,Bengaluru,Refurbished
EC00078,PRD00078,Smartphones,Xperia,Samsung,2024-12-22,128710,84050,Fair,5,2029-11-22,31410,Individual,Individual,Facebook Marketplace,No,0,2,59,10877,Expired,Not Returned,Yes,No,,0,654.38,3.07,70.1,4.8,South,Kochi,Resold
EC00079,PRD00079,Audio,Soundbar,Sennheiser,2022-05-24,30760,26910,Fair,4,2025-05-24,10370,Individual,Individual,Facebook Marketplace,Yes,4500,1,36,3733,Expired,Not Returned,Yes,Yes,2025-08-24,18.41,164.65,10.53,88,3.5,East,Guwahati,Resold
EC00080,PRD00080,Laptops,ThinkPad,Lenovo,2023-02-15,29870,17510,Fair,2,2025-01-15,11110,Individual,Individual,OLX,No,0,1,23,203,Extended,Not Returned,Yes,No,,0,157.56,0.74,62.2,4.9,East,Guwahati,Resold
EC00081,PRD00081,Laptops,ThinkPad,Acer,2021-02-04,36220,33580,Like New,3,2026-01-04,16710,Individual,Individual,OLX,No,0,2,59,8758,Expired,Not Returned,Yes,Yes,2026-04-03,21.29,218.04,9.46,58.9,3.7,South,Hyderabad,Resold
EC00082,PRD00082,Fashion,Sneakers,Fossil,2021-07-25,29330,21700,Good,2,2025-12-25,9600,Individual,Individual,Amazon Renewed,No,0,3,53,5352,Expired,Not Returned,Yes,No,,0,119.16,1.06,50.3,4.8,South,Chennai,Refurbished
EC00083,PRD00083,Smartphones,iPhone,Google,2024-01-10,69170,49380,Good,1,2027-08-10,26780,Business,Business,Local Dealer,Yes,3230,3,43,9682,Expired,Not Returned,No,No,,0,327.21,3.5,59.7,4.2,North,Delhi,Landfill
EC00084,PRD00084,Furniture,Office Chair,Wakefit,2025-05-05,66120,48980,Fair,1,2030-01-05,16050,Business,Business,OLX,Yes,2200,0,56,4283,Expired,Returned,No,No,,0,158.75,5.05,43.2,3.4,South,Vijayawada,Resold
EC00085,PRD00085,Laptops,ThinkPad,HP,2024-11-12,118560,89810,Fair,1,2027-04-12,35810,Individual,Individual,Cashify,No,0,0,29,6217,Expired,Not Returned,Yes,No,,0,235.47,3.54,52.9,3.5,South,Bengaluru,Resold
EC00086,PRD00086,Furniture,Dining Set,Urban Ladder,2023-10-23,26550,18000,Fair,1,2026-09-23,8190,Individual,Individual,Facebook Marketplace,No,0,4,35,2068,Extended,Not Returned,Yes,No,,0,17.06,0.71,39,3.2,South,Vijayawada,Resold
EC00087,PRD00087,Gaming,Gaming Console,Sony,2023-10-19,104460,68390,Fair,1,2028-10-19,23770,Business,Individual,Cashify,No,0,2,60,9941,Expired,Not Returned,Yes,No,,0,132.5,2.33,31.6,4.5,West,Mumbai,Recycled
EC00088,PRD00088,Smartphones,OnePlus,Samsung,2024-11-14,49760,27620,Good,3,2027-09-14,22450,Individual,Individual,OLX,No,0,2,34,5279,Expired,Not Returned,Yes,No,,0,183.23,3.14,60,3.5,East,Guwahati,Recycled
EC00089,PRD00089,Gaming,VR Headset,Sony,2022-07-20,93120,44200,Like New,4,2027-04-20,39050,Individual,Individual,EchoChain Marketplace,No,0,1,57,3080,Expired,Returned,No,No,,0,276.47,6.18,61.8,2.5,East,Patna,Resold
EC00090,PRD00090,Home Appliances,Refrigerator,Daikin,2024-02-04,58040,36550,Like New,2,2028-01-04,24510,Business,Individual,Cashify,No,0,0,47,10930,Expired,Not Returned,Yes,Yes,2028-04-19,42.86,280.71,11.68,57.7,3.9,East,Guwahati,Refurbished
EC00091,PRD00091,Fashion,Jacket,Nike,2025-12-01,7810,4020,Like New,4,2030-10-01,3400,Individual,Business,Facebook Marketplace,No,0,0,58,4400,Extended,Not Returned,No,No,,0,27.54,0.5,54.8,4.5,East,Ranchi,Recycled
EC00092,PRD00092,Fashion,Denim,Adidas,2025-02-09,42210,32920,Poor,2,2028-05-09,6790,Business,Individual,EchoChain Marketplace,No,0,1,39,2459,Expired,Not Returned,Yes,No,,0,166.72,1.43,41.9,3.4,North,Lucknow,Resold
EC00093,PRD00093,Fashion,Denim,Levi's,2022-12-04,27970,22060,Like New,1,2027-04-04,11360,Individual,Individual,Cashify,Yes,4140,1,52,6414,Extended,Not Returned,Yes,Yes,2027-04-30,10.63,152.22,3.13,63.7,4.9,North,Chandigarh,Resold
EC00094,PRD00094,Audio,Bluetooth Speaker,Boat,2022-02-06,44860,21370,Good,2,2023-02-06,21730,Individual,Individual,EchoChain Marketplace,No,0,2,12,7288,Active,Not Returned,Yes,No,,0,112.39,0.92,56.3,4.2,South,Hyderabad,Resold
EC00095,PRD00095,Laptops,MacBook Air,Apple,2022-12-31,134280,61090,Like New,2,2025-11-30,64040,Individual,Business,EchoChain Marketplace,No,0,0,35,3133,Expired,Not Returned,Yes,No,,0,621.48,4.72,42.7,3.3,North,Noida,Resold
EC00096,PRD00096,Audio,Soundbar,JBL,2025-04-29,13180,8390,Good,4,2026-05-29,6580,Individual,Individual,Amazon Renewed,No,0,1,13,10818,Expired,Not Returned,No,No,,0,42.35,0.64,76.2,3.9,West,Surat,Resold
EC00097,PRD00097,Home Appliances,Washing Machine,Whirlpool,2021-06-11,43860,41090,Like New,1,2021-11-11,32470,Business,Individual,EchoChain Marketplace,No,0,1,5,11897,Active,Not Returned,No,No,,0,85.24,1.84,53.6,3.3,South,Hyderabad,Resold
EC00098,PRD00098,Furniture,Bookshelf,Urban Ladder,2021-07-21,67930,57420,Good,1,2022-06-21,36750,Individual,Individual,Local Dealer,No,0,0,11,8010,Active,Not Returned,Yes,No,,0,119.44,1.05,63.4,4.6,South,Vijayawada,Resold
EC00099,PRD00099,Smartphones,OnePlus,Sony,2023-09-23,135220,109660,Good,3,2025-09-23,57220,Individual,Individual,EchoChain Marketplace,Yes,16510,1,24,9632,Expired,Not Returned,Yes,Yes,2025-11-16,37.04,606.92,33.79,87.4,5,East,Bhubaneswar,Refurbished
EC00100,PRD00100,Furniture,Sofa,Urban Ladder,2021-09-27,88870,40870,Fair,3,2021-12-27,34020,Individual,Individual,Local Dealer,No,0,0,3,7912,Active,Not Returned,Yes,No,,0,230.79,7.06,58.2,3.6,North,Jaipur,Resold
EC00101,PRD00101,Furniture,Dining Set,Godrej,2023-03-27,22620,13720,Good,4,2027-06-27,9110,Individual,Individual,Amazon Renewed,No,0,0,51,1419,Expired,Not Returned,Yes,No,,0,67.39,0.56,53.5,4.7,West,Pune,Refurbished
EC00102,PRD00102,Fashion,Denim,Adidas,2024-07-18,36490,28910,Like New,3,2027-07-18,19050,Individual,Individual,OLX,Yes,3890,0,36,170,Expired,Not Returned,Yes,No,,0,209.81,0.73,77.4,3.3,South,Vijayawada,Refurbished
