Transaction_ID,Product_ID,Product_Category,Product_Name,Brand,Purchase_Date,Original_Price_INR,Current_Market_Value_INR,Condition_at_Resale,Ownership_Cycle,Resale_Date,Resale_Price_INR,Seller_Type,Buyer_Type,Platform,Refurbished,Refurbishment_Cost_INR,Repair_Count,Product_Age_Months,Usage_Hours,Warranty_Status,Return_Status,Recycling_Eligible,Recycled,Recycling_Date,Material_Recovered_Kg,CO2_Saved_Kg,Waste_Diverted_Kg,Circularity_Score,Customer_Rating,Region,City,Final_Disposition,Listing_ID,Condition,Market_Value_INR,Listing_Price_INR,Price_Difference_INR,Discount_Percentage,Listing_to_Market_Ratio,Pricing_Category
EC00035,PRD00035,Furniture,Office Chair,Godrej,2021-01-22,71340,40150,Good,3,2023-09-22,31380,Individual,Individual,OLX,No,0,0,32,2326,Expired,Not Returned,Yes,No,,0.0,284.9,2.06,62.6,4.6,East,Kolkata,Resold,LISTING_00035,Good,40150.0,31380.0,8770.0,21.84,0.78,Below Market Value
EC00036,PRD00036,Furniture,Dining Set,Wakefit,2021-09-10,82160,59940,Like New,3,2023-08-10,52900,Individual,Individual,OLX,No,0,3,23,664,Extended,Not Returned,Yes,No,,0.0,340.59,6.41,52.2,4.6,South,Bengaluru,Resold,LISTING_00036,Like New,59940.0,52900.0,7040.0,11.75,0.88,Below Market Value
EC00037,PRD00037,Laptops,MacBook Air,HP,2023-01-18,141290,87680,Good,2,2023-04-18,77180,Individual,Individual,Cashify,No,0,2,3,7190,Active,Not Returned,Yes,No,,0.0,394.4,8.26,60.9,3.8,North,Noida,Refurbished,LISTING_00037,Good,87680.0,77180.0,10500.0,11.98,0.88,Below Market Value
EC00038,PRD00038,Home Appliances,Air Conditioner,LG,2023-05-07,16790,8540,Good,3,2026-07-07,7160,Business,Business,Amazon Renewed,Yes,1600,3,38,3323,Expired,Not Returned,Yes,Yes,2026-10-11,6.29,59.52,2.57,85.7,5.0,North,Lucknow,Resold,LISTING_00038,Good,8540.0,7160.0,1380.0,16.16,0.84,Below Market Value
EC00039,PRD00039,Audio,Headphones,Sony,2025-05-04,23150,19440,Good,2,2027-04-04,9920,Individual,Business,EchoChain Marketplace,No,0,0,23,10844,Expired,Not Returned,Yes,Yes,2027-06-14,6.28,104.94,3.7,65.0,2.6,East,Guwahati,Refurbished,LISTING_00039,Good,19440.0,9920.0,9520.0,48.97,0.51,Below Market Value
EC00040,PRD00040,Audio,Soundbar,JBL,2022-04-20,40680,36540,Good,3,2023-05-20,23220,Individual,Individual,EchoChain Marketplace,No,0,3,13,5456,Expired,Not Returned,Yes,No,,0.0,178.47,1.88,62.2,4.4,East,Guwahati,Recycled,LISTING_00040,Good,36540.0,23220.0,13320.0,36.45,0.64,Below Market Value
EC00041,PRD00041,Cameras,DSLR,Canon,2023-12-19,80730,41640,Good,3,2026-02-19,35720,Business,Individual,Facebook Marketplace,Yes,8300,2,26,7790,Extended,Not Returned,Yes,No,,0.0,198.96,1.78,78.8,3.7,North,Lucknow,Resold,LISTING_00041,Good,41640.0,35720.0,5920.0,14.22,0.86,Below Market Value
EC00042,PRD00042,Home Appliances,Vacuum Cleaner,Samsung,2022-05-26,12860,9710,Fair,1,2025-09-26,3930,Individual,Individual,Cashify,No,0,0,40,10189,Expired,Not Returned,Yes,No,,0.0,14.44,0.41,44.1,2.3,South,Chennai,Resold,LISTING_00042,Fair,9710.0,3930.0,5780.0,59.53,0.4,Below Market Value
EC00043,PRD00043,Laptops,Pavilion,Dell,2025-09-02,71930,32990,Fair,2,2028-09-02,21770,Individual,Individual,Facebook Marketplace,Yes,5330,0,36,923,Extended,Not Returned,Yes,No,,0.0,214.45,2.36,63.2,4.3,North,Jaipur,Refurbished,LISTING_00043,Fair,32990.0,21770.0,11220.0,34.01,0.66,Below Market Value
EC00044,PRD00044,Gaming,Monitor,ASUS,2025-02-08,44130,26200,Good,1,2030-01-08,13810,Business,Individual,Local Dealer,No,0,2,59,3297,Expired,Not Returned,Yes,No,,0.0,53.65,3.51,38.8,4.2,East,Patna,Resold,LISTING_00044,Good,26200.0,13810.0,12390.0,47.29,0.53,Below Market Value
EC00045,PRD00045,Home Appliances,Air Conditioner,LG,2022-12-01,27660,16770,Good,2,2023-08-01,14150,Business,Business,Cashify,Yes,1420,0,8,4159,Active,Not Returned,Yes,No,,0.0,70.55,1.31,75.8,4.4,South,Hyderabad,Resold,LISTING_00045,Good,16770.0,14150.0,2620.0,15.62,0.84,Below Market Value
EC00046,PRD00046,Smartphones,iPhone,Samsung,2023-09-03,71610,36180,Good,1,2023-12-03,44700,Business,Individual,Cashify,No,0,2,3,10606,Active,Not Returned,Yes,Yes,2023-12-14,37.75,66.48,27.82,58.3,3.9,North,Jaipur,Resold,LISTING_00046,Good,36180.0,44700.0,-8520.0,-23.55,1.24,Above Market Value
EC00047,PRD00047,Laptops,IdeaPad,Dell,2025-12-12,147200,104340,Fair,2,2027-07-12,45930,Business,Individual,Amazon Renewed,Yes,5410,2,19,11606,Expired,Not Returned,No,No,,0.0,576.8,9.91,71.3,4.0,South,Hyderabad,Resold,LISTING_00047,Fair,104340.0,45930.0,58410.0,55.98,0.44,Below Market Value
EC00048,PRD00048,Gaming,Gaming Laptop,Meta,2021-07-09,72830,54710,Fair,2,2025-05-09,22400,Business,Individual,Local Dealer,Yes,3690,1,46,2939,Expired,Not Returned,Yes,No,,0.0,258.34,3.44,68.0,3.3,East,Kolkata,Refurbished,LISTING_00048,Fair,54710.0,22400.0,32310.0,59.06,0.41,Below Market Value
EC00049,PRD00049,Laptops,Inspiron,Lenovo,2023-08-16,165990,138370,Like New,3,2024-05-16,107290,Individual,Individual,EchoChain Marketplace,No,0,0,9,8909,Active,Not Returned,Yes,No,,0.0,453.94,5.85,63.5,2.9,South,Hyderabad,Resold,LISTING_00049,Like New,138370.0,107290.0,31080.0,22.46,0.78,Below Market Value
EC00050,PRD00050,Smartphones,OnePlus,Google,2022-11-18,120790,68310,Poor,1,2026-12-18,19160,Business,Business,EchoChain Marketplace,Yes,11630,0,49,1343,Expired,Not Returned,Yes,Yes,2027-03-16,59.82,394.0,19.31,65.7,3.3,East,Ranchi,Resold,LISTING_00050,Poor,68310.0,19160.0,49150.0,71.95,0.28,Below Market Value
EC00051,PRD00051,Audio,Wireless Earbuds,Sennheiser,2023-08-16,4880,2420,Good,1,2026-06-16,2280,Individual,Individual,Amazon Renewed,Yes,390,0,34,3037,Extended,Not Returned,Yes,No,,0.0,20.59,0.28,50.5,3.6,West,Pune,Resold,LISTING_00051,Good,2420.0,2280.0,140.0,5.79,0.94,Below Market Value
EC00052,PRD00052,Smartphones,Pixel,Samsung,2022-07-17,70720,44550,Good,2,2027-07-17,20950,Individual,Individual,OLX,Yes,7060,1,60,10441,Expired,Not Returned,No,No,,0.0,176.56,4.49,47.1,3.3,East,Guwahati,Refurbished,LISTING_00052,Good,44550.0,20950.0,23600.0,52.97,0.47,Below Market Value
EC00053,PRD00053,Fashion,Backpack,Nike,2025-05-10,24610,21440,Poor,4,2028-04-10,4380,Individual,Individual,Facebook Marketplace,No,0,2,35,11543,Expired,Not Returned,Yes,Yes,2028-06-17,19.18,126.71,2.75,77.5,2.6,West,Mumbai,Recycled,LISTING_00053,Poor,21440.0,4380.0,17060.0,79.57,0.2,Below Market Value
EC00054,PRD00054,Furniture,Office Chair,Wakefit,2024-06-21,85490,64400,Good,2,2025-11-21,42030,Individual,Business,OLX,No,0,1,17,780,Expired,Not Returned,Yes,No,,0.0,266.22,3.11,50.2,4.6,North,Jaipur,Resold,LISTING_00054,Good,64400.0,42030.0,22370.0,34.74,0.65,Below Market Value
EC00055,PRD00055,Cameras,Mirrorless Camera,Panasonic,2023-04-12,31100,27410,Fair,1,2027-09-12,8760,Individual,Individual,EchoChain Marketplace,No,0,0,53,3840,Expired,Not Returned,Yes,Yes,2028-01-01,12.41,42.88,8.58,58.6,3.4,South,Kochi,Resold,LISTING_00055,Fair,27410.0,8760.0,18650.0,68.04,0.32,Below Market Value
EC00056,PRD00056,Audio,Wireless Earbuds,Bose,2025-03-09,32830,21940,Poor,2,2029-07-09,5580,Individual,Business,Facebook Marketplace,Yes,3060,0,52,7496,Expired,Not Returned,No,No,,0.0,142.99,1.65,56.8,2.0,East,Bhubaneswar,Resold,LISTING_00056,Poor,21940.0,5580.0,16360.0,74.57,0.25,Below Market Value
EC00057,PRD00057,Smartphones,Pixel,Apple,2024-02-29,39980,30360,Good,2,2025-02-28,20810,Individual,Individual,Cashify,No,0,0,12,2834,Active,Not Returned,Yes,No,,0.0,169.95,1.69,67.8,3.9,West,Nagpur,Refurbished,LISTING_00057,Good,30360.0,20810.0,9550.0,31.46,0.69,Below Market Value
EC00058,PRD00058,Smartphones,OnePlus,Samsung,2025-02-17,129870,118070,Good,1,2027-08-17,59470,Individual,Business,Cashify,Yes,18050,0,30,4349,Expired,Not Returned,Yes,No,,0.0,287.18,1.98,61.0,3.9,East,Ranchi,Refurbished,LISTING_00058,Good,118070.0,59470.0,58600.0,49.63,0.5,Below Market Value
EC00059,PRD00059,Fashion,Denim,Levi's,2022-10-09,35760,19620,Fair,1,2023-12-09,14520,Individual,Individual,EchoChain Marketplace,No,0,1,14,4587,Expired,Not Returned,Yes,No,,0.0,27.12,2.27,50.0,4.1,South,Hyderabad,Recycled,LISTING_00059,Fair,19620.0,14520.0,5100.0,25.99,0.74,Below Market Value
EC00060,PRD00060,Smartphones,Pixel,Google,2021-01-21,25500,17070,Good,4,2023-10-21,11670,Individual,Business,OLX,No,0,1,33,167,Expired,Not Returned,Yes,No,,0.0,125.24,0.83,65.9,4.2,South,Kochi,Resold,LISTING_00060,Good,17070.0,11670.0,5400.0,31.63,0.68,Below Market Value
EC00061,PRD00061,Home Appliances,Microwave,IFB,2023-04-21,38900,19700,Fair,2,2024-07-21,14780,Individual,Individual,Cashify,Yes,6030,0,15,9166,Expired,Not Returned,Yes,No,,0.0,97.71,2.91,59.6,4.4,North,Jaipur,Recycled,LISTING_00061,Fair,19700.0,14780.0,4920.0,24.97,0.75,Below Market Value
EC00062,PRD00062,Home Appliances,Vacuum Cleaner,Whirlpool,2021-06-16,68680,50330,Good,2,2025-01-16,29370,Individual,Business,EchoChain Marketplace,No,0,1,43,9604,Expired,Not Returned,Yes,No,,0.0,381.46,3.01,48.6,3.6,West,Mumbai,Refurbished,LISTING_00062,Good,50330.0,29370.0,20960.0,41.65,0.58,Below Market Value
EC00063,PRD00063,Smartphones,Pixel,Samsung,2024-07-21,136490,123220,Like New,2,2025-10-21,77720,Business,Individual,Amazon Renewed,No,0,2,15,10497,Expired,Not Returned,Yes,No,,0.0,408.66,3.12,52.0,4.4,North,Jaipur,Recycled,LISTING_00063,Like New,123220.0,77720.0,45500.0,36.93,0.63,Below Market Value
EC00064,PRD00064,Home Appliances,Microwave,Daikin,2022-01-23,13270,12370,Good,2,2024-06-23,6520,Individual,Individual,Cashify,Yes,1840,1,29,11650,Expired,Returned,Yes,No,,0.0,38.84,0.35,63.5,3.3,South,Hyderabad,Resold,LISTING_00064,Good,12370.0,6520.0,5850.0,47.29,0.53,Below Market Value
EC00065,PRD00065,Smartphones,iPhone,Apple,2022-08-24,123500,105080,Good,4,2025-04-24,57720,Business,Business,EchoChain Marketplace,Yes,12170,3,32,482,Extended,Not Returned,Yes,Yes,2025-07-28,30.25,558.89,34.12,90.7,4.6,East,Guwahati,Recycled,LISTING_00065,Good,105080.0,57720.0,47360.0,45.07,0.55,Below Market Value
EC00066,PRD00066,Furniture,Bookshelf,Wakefit,2021-11-12,80460,55610,Like New,1,2023-01-12,49810,Individual,Individual,Facebook Marketplace,No,0,1,14,4562,Expired,Not Returned,Yes,No,,0.0,44.97,4.59,52.6,4.0,South,Kochi,Resold,LISTING_00066,Like New,55610.0,49810.0,5800.0,10.43,0.9,Below Market Value
EC00067,PRD00067,Laptops,Inspiron,Dell,2021-01-14,140140,96050,Good,1,2026-01-14,43590,Individual,Individual,OLX,No,0,1,60,7989,Expired,Not Returned,Yes,No,,0.0,153.37,8.35,55.3,2.5,South,Chennai,Resold,LISTING_00067,Good,96050.0,43590.0,52460.0,54.62,0.45,Below Market Value
EC00068,PRD00068,Audio,Headphones,Sennheiser,2021-08-30,32820,25160,Good,2,2024-09-30,15050,Individual,Business,OLX,No,0,4,37,717,Expired,Not Returned,Yes,No,,0.0,117.79,1.52,45.9,4.3,West,Ahmedabad,Refurbished,LISTING_00068,Good,25160.0,15050.0,10110.0,40.18,0.6,Below Market Value
EC00069,PRD00069,Furniture,Dining Set,IKEA,2023-02-16,27360,23430,Good,2,2025-04-16,13990,Individual,Individual,EchoChain Marketplace,Yes,1440,1,26,7420,Expired,Not Returned,Yes,No,,0.0,126.36,0.51,68.1,3.3,South,Kochi,Refurbished,LISTING_00069,Good,23430.0,13990.0,9440.0,40.29,0.6,Below Market Value
EC00070,PRD00070,Cameras,Action Camera,Sony,2024-10-01,76790,51600,Fair,2,2026-05-01,30200,Individual,Individual,Amazon Renewed,Yes,8990,0,19,9355,Expired,Not Returned,Yes,No,,0.0,325.65,5.45,62.9,3.1,West,Pune,Refurbished,LISTING_00070,Fair,51600.0,30200.0,21400.0,41.47,0.59,Below Market Value
EC00071,PRD00071,Furniture,Dining Set,Pepperfry,2022-07-19,44880,27820,Good,2,2023-01-19,22970,Individual,Individual,OLX,No,0,2,6,10781,Active,Not Returned,Yes,No,,0.0,72.14,0.7,58.5,4.2,North,Jaipur,Refurbished,LISTING_00071,Good,27820.0,22970.0,4850.0,17.43,0.83,Below Market Value
EC00072,PRD00072,Cameras,Mirrorless Camera,GoPro,2023-06-17,148420,91590,Good,3,2027-03-17,54310,Business,Business,Facebook Marketplace,No,0,0,45,11815,Expired,Not Returned,Yes,No,,0.0,560.59,5.67,63.4,3.9,East,Patna,Refurbished,LISTING_00072,Good,91590.0,54310.0,37280.0,40.7,0.59,Below Market Value
EC00073,PRD00073,Laptops,ThinkPad,Lenovo,2024-09-25,102060,49920,Like New,2,2025-09-25,59260,Individual,Individual,EchoChain Marketplace,Yes,12690,0,12,3091,Active,Not Returned,No,No,,0.0,376.97,6.85,67.7,3.5,North,Chandigarh,Recycled,LISTING_00073,Like New,49920.0,59260.0,-9340.0,-18.71,1.19,Above Market Value
EC00074,PRD00074,Cameras,Lens,Panasonic,2021-04-02,152090,128290,Good,2,2025-10-02,56340,Individual,Business,OLX,No,0,0,54,1234,Extended,Not Returned,No,No,,0.0,367.19,3.17,55.2,4.4,West,Pune,Resold,LISTING_00074,Good,128290.0,56340.0,71950.0,56.08,0.44,Below Market Value
EC00075,PRD00075,Laptops,MacBook Air,Lenovo,2024-10-22,126960,106120,Fair,2,2026-04-22,46800,Individual,Individual,Amazon Renewed,No,0,1,18,5828,Expired,Not Returned,Yes,No,,0.0,241.18,3.35,57.7,3.7,North,Delhi,Recycled,LISTING_00075,Fair,106120.0,46800.0,59320.0,55.9,0.44,Below Market Value
EC00076,PRD00076,Gaming,Gaming Laptop,Meta,2023-08-14,13170,5980,Good,4,2025-11-14,6160,Individual,Individual,Local Dealer,No,0,1,27,4318,Expired,Not Returned,Yes,Yes,2025-12-27,3.68,61.25,3.29,77.6,3.9,West,Mumbai,Refurbished,LISTING_00076,Good,5980.0,6160.0,-180.0,-3.01,1.03,Above Market Value
